County_Code,Age_Group,Probability,COMMUNITY,UNC,LARGE,SMALL,LT,NH
23,1,0.00019470206043463141,0,2.3981116106975557e-06,3.318826545740632e-05,0.00015911568336652752,0,0.0
23,2,0.0006486243016195622,0,5.39011384265754e-06,6.969425626909638e-05,0.0004086261390384251,0,0.00016491379246938318
25,0,0.0001606327141452224,0,0.0,0.0001466316876683616,1.4001026476860797e-05,0,0.0
25,1,0.00024987955853799705,0,0.0,0.0002239578085796094,2.5921749958387663e-05,0,0.0
25,2,0.000866294875496443,0,0.0,0.0006144131176033673,8.696796542369243e-05,0,0.00016491379246938318
27,0,0.00015807509439236215,0,7.522474472451842e-05,1.4647317014734813e-05,6.820303265310892e-05,0,0.0
27,1,0.00019287343845774118,0,8.57529525802842e-05,1.6122112910252216e-05,9.099837296720475e-05,0,0.0
27,2,0.0006520204956069441,0,0.00020397092469844313,3.5828203111356825e-05,0.0002473075753277609,0,0.00016491379246938318
29,0,4.7833157057703324e-05,0,0.0,0.0,4.7833157057703324e-05,0,0.0
29,1,7.757745737815435e-05,0,0.0,0.0,7.757745737815435e-05,0,0.0
29,2,0.00039541894539592526,0,0.0,0.0,0.00023050515292654208,0,0.00016491379246938318
31,0,0.00013820249661524055,0,0.0,1.9998549871601154e-05,0.0001182039467436394,0,0.0
31,1,0.00015860720283583042,0,0.0,1.9425908340057743e-05,0.00013918129449577268,0,0.0
31,2,0.000509541089739013,0,0.0,3.5303157813568254e-05,0.00030932413945606153,0,0.00016491379246938318
33,0,3.264907776480958e-05,0,0.0,1.1239219897758065e-05,2.1409857867051513e-05,0,0.0
33,1,3.99546433313169e-05,0,0.0,1.2074154022685375e-05,2.7880489308631526e-05,0,0.0
33,2,0.00026008095067422716,0,0.0,2.488766778646186e-05,7.027949041838214e-05,0,0.00016491379246938318
35,0,0.0001485831984683349,0,6.81857259024867e-07,2.4723114347034534e-05,0.0001231782268622755,0,0.0
35,1,0.00021330098783125005,0,8.620068772095924e-07,3.017838240869338e-05,0.00018226059854534708,0,0.0
35,2,0.0007593307242103667,0,2.1592210080378645e-06,7.062626025800353e-05,0.0005216314504749421,0,0.00016491379246938318
37,0,8.623713429489882e-05,0,7.42912905708463e-05,0.0,1.1945843724052514e-05,0,0.0
37,1,9.633756581656455e-05,0,8.107855124843707e-05,0.0,1.525901456812748e-05,0,0.0
37,2,0.00035287232870525426,0,0.00015469418193994397,0.0,3.326435429592711e-05,0,0.00016491379246938318
39,0,0.00010019769713723472,0,0.0,0.0,0.00010019769713723472,0,0.0
39,1,9.781846477605714e-05,0,0.0,0.0,9.781846477605714e-05,0,0.0
39,2,0.00035174524092925245,0,0.0,0.0,0.00018683144845986924,0,0.00016491379246938318
41,0,0.000176560101678924,0,0.0,6.646108958468735e-05,0.00011009901209423665,0,0.0
41,1,0.0002301517150414314,0,0.0,7.65110484827404e-05,0.00015364066655869097,0,0.0
41,2,0.0005853575653732128,0,0.0,0.00012166526408862268,0.00029877850881520696,0,0.00016491379246938318
43,0,4.572926092674232e-05,0,0.0,0.0,4.572926092674232e-05,0,0.0
43,1,5.0667793108544064e-05,0,0.0,0.0,5.0667793108544064e-05,0,0.0
43,2,0.0002671329396777807,0,0.0,0.0,0.00010221914720839748,0,0.00016491379246938318
45,0,0.0001951901871389363,0,0.0,7.092105757871829e-05,0.000124269129560218,0,0.0
45,1,0.00027209736895817554,0,0.0,8.70990836439028e-05,0.00018499828531427277,0,0.0
